"rep","method","frac","richness.r2","feasible.and.stable.balanced_accuracy","composition.balanced_accuracy","abundance.r2","num_species","num_replicates_in_data","num_cases"
4,"naive",0.000335981828628378,0.432661394633799,0.760104302477184,0.874079289428076,0.195382175998052,9,3,1536
5,"naive",0.000335981828628378,0.432675652547816,0.751629726205997,0.874092927542511,0.19537490389684,9,3,1536
1,"e2e + reshuffle",0.000335981828628378,0.500057195245666,0.5,0.615314771435087,0.091343158225951,9,3,1536
2,"e2e + reshuffle",0.000335981828628378,0.497578097677045,0.5,0.578246544054549,0.0912301249334675,9,3,1536
3,"e2e + reshuffle",0.000335981828628378,NA,0.5,0.5,NA,9,3,1536
4,"e2e + reshuffle",0.000335981828628378,0.500057195245666,0.5,0.615314771435087,0.0931630572253759,9,3,1536
5,"e2e + reshuffle",0.000335981828628378,0.497578097677045,0.5,0.578246544054549,0.0928642141487241,9,3,1536
1,"e2e",0.000335981828628378,0.497563906234648,0.5,0.435781039732228,0.0224881046017426,9,3,1536
2,"e2e",0.000335981828628378,0.500057195245666,0.5,0.583316146799017,0.0659429800010837,9,3,1536
3,"e2e",0.000335981828628378,0.49757673405018,0.5,0.633487391718251,0.0714197515480108,9,3,1536
4,"e2e",0.000335981828628378,0.49757673405018,0.5,0.619608911878014,0.0673372584806816,9,3,1536
5,"e2e",0.000335981828628378,0.500057195245666,0.5,0.498258578251098,0.00187478842007709,9,3,1536
1,"naive",0.000695192796177561,0.433164524403775,0.5,0.874268371992196,0.195511069310982,9,3,1536
2,"naive",0.000695192796177561,0.432338768574417,0.5,0.874173620895199,0.19545498013569,9,3,1536
3,"naive",0.000695192796177561,0.432716229985445,0.5,0.874105787990462,0.19537473887202,9,3,1536
4,"naive",0.000695192796177561,0.432359846649728,0.5,0.874078490893322,0.195465522086697,9,3,1536
5,"naive",0.000695192796177561,0.432935751699386,0.5,0.87420054200542,0.195529321780205,9,3,1536
