"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
0,0.671804438929287,0,0.0606430532928136,0,0,0,0,10.0386226404137,0,0
0.214164631239694,0,0,0,0.58828003653595,0,0,0,8.35621943146365,0,0
0,0.525863850925255,0,0,0.36518858541997,0,0,0,9.5499477112488,0,0
1.02807667829906,5.67893542904466,0,0,0.851264650797335,0,0,0,10.8410540640856,0,0
0,0,0,0.207252759318366,0.540511598314753,0,0,0,7.02606975160354,0,0
0,0.502367670197903,0,0.0696393665237344,0.276345340302866,0,0,0,9.74038820477821,0,0
0,0,0.300147081779997,0.115458141985583,0.379118489240034,0,0,0,8.6008754794599,0,0
0.362295155552963,0,0,0.291644234024635,0.710480785911906,0,0,0,6.27399744556504,0,0
0,0,0,0,0,2.13115878291364,0,0,13.3203955172348,0,0
0.0782327699995006,0.0870235631727186,0,0,0,2.23742358166933,0,0,14.5903304878675,0,0
0.247918228824737,0,0,0,0,2.08651228088735,0,0,12.7432969513215,0,0
0,0.139648666802946,0,0,0,2.19438255247389,0,0,14.0482534203226,0,0
1.31507256714635,6.69227426992826,0,0,0,2.68278590274428,0,0,17.4954132321795,0,0
0,0,0,0.0657900857415649,0,2.17543592819781,0,0,13.4511665311105,0,0
0,0,0.0455721563314102,0.0506932266288094,0,2.19076611135696,0,0,13.7355497723562,0,0
0.44641399921174,0,0,0.232161513055398,0,2.09284612598345,0,0,11.3346222419549,0,0
0,0.217004028580095,0,0.0436738824561857,0,2.22001144864116,0,0,14.0598790978937,0,0
0,0,0,0,0.291412627472585,2.14557987186097,0,0,13.3629757508614,0,0
0,0.0464960147656943,0,0,0.251005219115127,2.1722051034684,0,0,13.6928334718714,0,0
0,0.0538360462378269,0,0,0.317196324103897,2.1117565344891,0,0,12.924629885508,0,0
0,0,0.17423282053055,0,0.191664645153933,2.18503633467388,0,0,13.9043294804899,0,0
0,0.0568088939279682,0,0.046803733728229,0.196930718217463,2.20737737158,0,0,13.8524365605653,0,0
0,0,0.0912656252174505,0.0482735357472869,0.199454501519853,2.19035766497063,0,0,13.6586106091142,0,0
0,0.565439419770677,0,0,0,0,0.0564329342208029,0,10.0811780977109,0,0
0.0931552532025259,0.555110999788189,0,0,0,0,0.0497923885174102,0,10.6039497873789,0,0
