"a","b","c","d","e","f","g","h","i","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","feasible.and.stable","state_idx"
1,0,1,0,0,0,1,1,0,2,0,0,220,0,0,0,0,53,0,NA,197
1,0,1,0,0,0,1,1,0,3,0,0,180,0,0,0,98,33,0,NA,197
1,0,1,0,0,1,0,1,1,3,0,0,172,0,0,0,0,109,20,NA,421
1,0,1,0,0,1,0,1,1,2,0,0,224,0,0,0,0,37,0,NA,421
1,0,1,0,0,1,0,1,1,4,0,0,238,0,0,1,0,43,71,NA,421
1,0,1,0,0,1,1,0,0,2,0,0,234,0,0,0,2,0,0,NA,101
1,0,1,0,0,1,1,0,0,3,0,0,289,0,0,5,8,0,0,NA,101
1,0,1,0,0,1,1,0,0,3,7,0,139,0,0,0,149,0,0,NA,101
1,0,1,0,1,1,1,0,0,3,0,0,26,0,189,0,16,0,0,NA,117
1,0,1,0,1,1,1,0,0,5,1,0,29,0,251,2,126,0,0,NA,117
1,0,1,0,1,1,1,1,0,4,0,0,32,0,191,0,1,22,0,NA,245
1,0,1,0,1,1,1,1,0,3,0,0,25,0,166,0,0,35,0,NA,245
1,0,1,0,1,1,1,1,0,4,0,0,32,0,176,0,44,18,0,NA,245
1,0,1,1,0,0,0,0,1,3,3,0,48,198,0,0,0,0,0,NA,269
1,0,1,1,0,0,0,0,1,3,0,0,23,248,0,0,0,0,7,NA,269
1,0,1,1,0,0,0,0,1,3,0,0,15,186,0,0,0,0,13,NA,269
1,0,1,1,0,1,0,0,0,2,0,0,26,223,0,0,0,0,0,NA,45
1,0,1,1,0,1,0,0,0,2,0,0,33,176,0,0,0,0,0,NA,45
1,0,1,1,0,1,0,0,0,2,0,0,13,218,0,0,0,0,0,NA,45
1,0,1,1,0,1,0,0,1,2,0,0,51,259,0,0,0,0,0,NA,301
1,0,1,1,0,1,0,0,1,3,0,0,32,142,0,0,0,0,2,NA,301
1,0,1,1,0,1,0,0,1,2,0,0,4,228,0,0,0,0,0,NA,301
1,1,0,0,0,1,0,1,0,2,0,1,0,0,0,0,0,235,0,NA,163
1,1,0,0,0,1,0,1,0,4,2,3,0,0,0,16,0,238,0,NA,163
1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,307,0,NA,163
1,1,0,0,0,1,0,1,1,3,0,0,0,0,0,1,0,134,16,NA,419
1,1,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0,304,24,NA,419
1,1,0,0,0,1,0,1,1,3,0,1,0,0,0,0,0,72,102,NA,419
1,1,0,0,1,0,0,1,1,2,0,0,0,0,259,0,0,17,0,NA,403
