"a","b","c","d","e","f","g","h","i","j","k","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","feasible.and.stable","state_idx"
0,1,0,1,1,0,0,0,1,0,1,3,0,0.396925859321202,0,0,0,0,0,0,11.4844947099955,0,0.410215190721112,"TRUE",1306
1,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1317
1,0,1,1,0,1,0,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1325
0,0,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1336
1,0,1,1,1,1,0,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1341
1,1,0,0,0,0,1,0,1,0,1,3,0,0.396925859321203,0,0,0,0,0,0,11.4844947099954,0,0.41021519072111,"TRUE",1347
1,1,0,1,0,0,1,0,1,0,1,3,0,0.396925859321203,0,0,0,0,0,0,11.4844947099954,0,0.41021519072111,"TRUE",1355
0,0,1,1,0,0,1,0,1,0,1,2,0,0,1.09938369287831e-08,0,0,0,0,0,10.5867691513752,0,0.631274809184689,"TRUE",1356
1,0,1,0,1,0,1,0,1,0,1,2,0,0,1.04799967137432e-08,0,0,0,0,0,10.5867691504306,0,0.631274809499471,"TRUE",1365
1,0,1,1,1,0,1,0,1,0,1,2,0,0,1.01546538714621e-08,0,0,0,0,0,10.5867691498325,0,0.631274809698778,"FALSE",1373
1,1,1,1,1,0,1,0,1,0,1,3,0,0.396925859321199,0,0,0,0,0,0,11.4844947099955,0,0.410215190721115,"TRUE",1375
0,0,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1376
1,0,0,1,0,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1385
1,1,1,1,0,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1391
0,0,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1396
0,1,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1398
1,1,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1399
1,1,0,1,1,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1403
1,1,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1407
0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,10.5867691311638,0,0.631274815919589,"TRUE",1408
1,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0,10.5867691311637,0,0.631274815919585,"TRUE",1409
1,1,1,1,0,0,0,1,1,0,1,3,0,0.396925859321199,0,0,0,0,0,0,11.4844947099955,0,0.410215190721115,"TRUE",1423
0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1440
0,0,0,0,1,1,0,1,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1456
0,1,1,0,1,1,0,1,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"FALSE",1462
1,1,0,0,0,0,1,1,1,0,1,3,0,0.396925859321203,0,0,0,0,0,0,11.4844947099954,0,0.41021519072111,"FALSE",1475
1,0,0,1,0,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,10.5867691311637,0,0.631274815919585,"TRUE",1481
1,0,1,1,0,0,1,1,1,0,1,2,0,0,1.00490512524841e-08,0,0,0,0,0,10.5867691496383,0,0.631274809763472,"TRUE",1485
0,0,0,0,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,10.5867691311638,0,0.631274815919589,"TRUE",1488
0,0,1,0,1,0,1,1,1,0,1,2,0,0,1.10391734672769e-08,0,0,0,0,0,10.5867691514586,0,0.631274809156916,"FALSE",1492
0,0,0,1,1,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,10.5867691311637,0,0.631274815919585,"TRUE",1496
0,0,1,0,0,1,1,1,1,0,1,2,0,0,0,0,0,2.13115877519994,0,0,13.320395414246,0,0,"TRUE",1508
