"a","b","c","d","e","f","g","h","i","j","k","l","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star","feasible.and.stable","state_idx"
1,1,1,1,1,0,1,1,0,0,0,1,4,0.335851588538066,0,0,0.236058144339674,0.446043033887334,0,0.261501353083419,0,0,0,0,0,"TRUE",2271
1,1,0,1,1,1,1,1,0,0,0,1,4,0.335851588538069,0,0,0.236058144339668,0.44604303388734,0,0.261501353083417,0,0,0,0,0,"TRUE",2299
0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,"TRUE",2308
0,1,1,0,0,0,0,0,1,0,0,1,2,0,0,0.535934623446373,0,0,0,0,0,0.663317991239174,0,0,0,"TRUE",2310
0,0,1,0,1,0,0,0,1,0,0,1,3,0,0,0.434768328252294,0,0.147087348618419,0,0,0,0.647655887152219,0,0,0,"TRUE",2324
0,1,1,1,1,0,0,0,1,0,0,1,3,0,0,0,0.296007405231784,0.388115804121111,0,0,0,0.781240012617701,0,0,0,"TRUE",2334
0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0.0803686825565427,0,0,0.113331031850784,0,0,0.0988865310746045,"TRUE",2336
1,1,0,0,1,1,0,0,1,0,0,1,3,0.719509517402154,2.99071481782061e-10,0,0,0.515327633908075,0,0,0,0.491558381246152,0,0,0,"TRUE",2355
0,0,0,1,1,0,1,0,1,0,0,1,4,0,0,0,0.160163857866946,0.529344894883802,0,0.335717120260957,0,0.671928021908426,0,0,0,"TRUE",2392
0,0,1,0,1,1,1,0,1,0,0,1,3,0,0,0,0,0.672968782474366,0,0.323870632593137,0,0.526844804721961,0,0,0,"TRUE",2420
0,0,1,1,1,0,0,1,1,0,0,1,3,0,0,0,0.296007405231808,0.388115804121379,0,0,0,0.781240012617665,0,0,0,"TRUE",2460
1,1,1,1,1,0,0,1,1,0,0,1,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",2463
0,1,0,0,0,1,0,1,1,0,0,1,2,0,0.562227292788732,0,0,0,0,0,0.000677560395341963,0.569181455196919,0,0,0,"TRUE",2466
1,1,0,1,1,1,0,1,1,0,0,1,4,0.777977269266948,0,0,0.111768694679855,0.403304702078509,0,0,0,0.590653165531019,0,0,0,"TRUE",2491
1,1,0,1,0,0,1,1,1,0,0,1,4,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935016,0,0.684792909150441,0,0,0,"TRUE",2507
1,1,1,1,0,0,1,1,1,0,0,1,4,0.789044319253964,0,0,0.333530348683293,0,0,0.171869611935017,0,0.684792909150441,0,0,0,"TRUE",2511
1,1,0,1,1,0,1,1,1,0,0,1,5,0.754208561399611,0,0,0.0556355403462295,0.467051221025437,0,0.152635602453369,0,0.546776674598619,0,0,0,"TRUE",2523
