"a","b","c","d","e","f","g","h","i","j","k","l","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star","l.star"
0,1,1,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0,4.70862933020136e-30,0.618601716793862,0,4.68614174956818e-08,0,0,0.185161543428194,0,0,0,0
1,1,1,0,1,0,0,1,0,0,0,0,TRUE,TRUE,2,0.26902830625643,1.22878242341884e-24,0.578778049197735,0,6.64008696177849e-08,0,0,2.57447493314072e-08,0,0,0,0
0,0,0,1,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0,0,0,0.395347314264763,0.357604326804912,0,0,0.154864316308989,0,0,0,0
1,0,0,1,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0.318037733340556,0,0,0.364376436020597,0.327136202488417,0,0,7.91732639759429e-41,0,0,0,0
0,1,0,1,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0,8.69507047718221e-52,0,0.395347314264763,0.357604326804912,0,0,0.154864316308989,0,0,0,0
1,1,0,1,1,0,0,1,0,0,0,0,TRUE,TRUE,3,0.318037733340555,4.70994936063685e-48,0,0.364376436020598,0.327136202488417,0,0,9.44394599707553e-41,0,0,0,0
0,0,1,1,1,0,0,1,0,0,0,0,TRUE,TRUE,4,0,0,0.129689806772338,0.363142859412083,0.235572249739324,0,0,0.165203214417739,0,0,0,0
1,0,1,1,1,0,0,1,0,0,0,0,TRUE,TRUE,4,0.311630451407816,0,0.0440556090054866,0.356659406104622,0.284377212666032,0,0,7.88555317074694e-35,0,0,0,0
0,1,1,1,1,0,0,1,0,0,0,0,TRUE,TRUE,4,0,9.79683193832632e-57,0.129689830342417,0.3631428561799,0.235572223268718,0,0,0.165203216801529,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0,0,TRUE,TRUE,4,0.311628680798202,2.46811946301069e-50,0.0440670424442136,0.356657771274432,0.284365570306518,0,0,9.31848569893466e-35,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,TRUE,TRUE,2,0,0,0,0,0,0.306606495780453,0,0.185161547666534,0,0,0,0
1,0,0,0,0,1,0,1,0,0,0,0,TRUE,TRUE,2,0.352095290900259,0,0,0,0,0.167345307651027,0,4.67040994347673e-39,0,0,0,0
